"acc","accuracy","average_response_time","avg_rt","background","bgScale","bidi","bottomLeftPattern","bottomRightPattern","canvas_backend","checkFix","clock_backend","colorDown","colorInterval","colorLeft","colorRight","colorUp","color_backend","compareArray","compensation","coordinates","correct","correct_feedback","correct_keyboard_response","count","count_README","count__pygaze_start_recording","count_blank","count_blank_1","count_calibration","count_calibration_sequence","count_default_settings","count_eight_options","count_exp_sequence","count_exp_sequence_1","count_experiment","count_eye_tracker","count_feedback","count_feedback_1","count_final_feedback","count_final_text","count_form_base","count_form_base_1","count_four_options","count_four_options_2","count_free_writing","count_free_writing_feedback","count_free_writing_loop","count_free_writing_script","count_get_input","count_globals","count_item","count_itemArray","count_keyboard_input","count_keyboard_response","count_logger","count_logger_1","count_logger_2","count_logger_3","count_new_inline_script","count_new_inline_script_1","count_new_inline_script_2","count_new_inline_script_3","count_new_loop","count_new_pygaze_drift_correct","count_new_pygaze_drift_correct_1","count_new_pygaze_drift_correct_2","count_new_pygaze_start_recording","count_new_pygaze_start_recording_1","count_pygaze_drift_correct","count_pygaze_drift_correct_1","count_pygaze_drift_correct_2","count_pygaze_init","count_pygaze_log","count_pygaze_log_1","count_pygaze_log_2","count_pygaze_start_recording","count_pygaze_start_recording_1","count_pygaze_start_recording_2","count_pygaze_start_recording_3","count_pygaze_stop_recording","count_pygaze_stop_recording_1","count_pygaze_stop_recording_2","count_python_definitions","count_select_target","count_select_target_1","count_show_final_text","count_show_words","count_sketchpad","count_smoothing","count_speak_target","count_speak_target_1","count_speech","count_two_options","counter","currWordProbability","datetime","description","disable_garbage_collection","ecc","empty_column","experiment_file","experiment_path","firstCycle","firstPattern","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","free_writing","free_writing_text","fullText","fullscreen","height","itemChange","itemIds","keyboard_backend","likelihoodThr","live_row","live_row_calibration","live_row_four_options","logfile","loop_rt","maxBlackThreshold","maxVar","maxWhiteThrehold","maxWhiteThreshold","minBlackThreshold","minVar","minWhiteThreshold","mode2","mouse_backend","numberOfColors","opensesame_codename","opensesame_version","opt2","opt4","opt8","predictionArray","prevWordProbability","repeat_cycle","response","response_feedback","response_feedback_1","response_final_text","response_free_writing_feedback","response_keyboard_response","response_sketchpad","response_time","response_time_feedback","response_time_feedback_1","response_time_final_text","response_time_free_writing_feedback","response_time_keyboard_response","response_time_sketchpad","round_decimals","rowNumber","sampler_backend","selectedWords","showCue","similarityMatrix","size","sound_buf_size","sound_channels","sound_freq","sound_sample_size","stabilize","start","stop","subject_nr","subject_parity","synth_backend","target","threshold","time_README","time__pygaze_start_recording","time_blank","time_blank_1","time_calibration","time_calibration_sequence","time_default_settings","time_eight_options","time_exp_sequence","time_exp_sequence_1","time_experiment","time_eye_tracker","time_feedback","time_feedback_1","time_final_feedback","time_final_text","time_form_base","time_form_base_1","time_four_options","time_four_options_2","time_free_writing","time_free_writing_feedback","time_free_writing_loop","time_free_writing_script","time_get_input","time_globals","time_item","time_itemArray","time_keyboard_input","time_keyboard_response","time_logger","time_logger_1","time_logger_2","time_logger_3","time_new_inline_script","time_new_inline_script_1","time_new_inline_script_2","time_new_inline_script_3","time_new_loop","time_new_pygaze_drift_correct","time_new_pygaze_drift_correct_1","time_new_pygaze_drift_correct_2","time_new_pygaze_start_recording","time_new_pygaze_start_recording_1","time_pygaze_drift_correct","time_pygaze_drift_correct_1","time_pygaze_drift_correct_2","time_pygaze_init","time_pygaze_log","time_pygaze_log_1","time_pygaze_log_2","time_pygaze_start_recording","time_pygaze_start_recording_1","time_pygaze_start_recording_2","time_pygaze_start_recording_3","time_pygaze_stop_recording","time_pygaze_stop_recording_1","time_pygaze_stop_recording_2","time_python_definitions","time_select_target","time_select_target_1","time_show_final_text","time_show_words","time_sketchpad","time_smoothing","time_speak_target","time_speak_target_1","time_speech","time_two_options","title","topLeftPattern","topRightPattern","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width","winner","winnerCount","winnerWord","words1","words2","words3","words4","words5"
"undefined","undefined","undefined","undefined","#4c4c4c","2.65","no","[0, -1, 1, -1]","[-1, 0, -1, 1]","psycho","no","psycho","NA","100","NA","NA","NA","psycho","[[-1, 1, -1, 0], [-1, 0, -1, 1], [1, -1, 0, -1], [0, -1, 1, -1]]","0","relative","undefined","undefined","NA","1","0","NA","0","NA","0","0","0","0","0","NA","0","0","0","NA","NA","NA","0","NA","0","NA","NA","NA","0","NA","0","0","0","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","0","0","NA","NA","0","NA","0","NA","1","NA","NA","0","0","NA","0","NA","NA","0","0","NA","0","NA","0","[ 0.  0.  0.  0.]","10/19/18 12:01:38","A brain-computer interface based on covert attention and pupillometry","yes","390","0","MadLibsV11_Covert.osexp","C:\Users\EyeTDisplay\Desktop\User-Models-Project_lab","no","yes","no","mono","no","18","no","white","no","no","NA","NA","yes","1024","[]","ABCD","psycho","1.375","0","0","0","C:/Users/EyeTDisplay/Desktop/User-Models-Project_lab/Results/sbja1.csv","39.602557558","2966.25","1.05","0","2315.25","2683.75","0.95","2094.75","90upmirror","psycho","4","Kafkaesque Koffka","3.2.4","no","no","no","[ 0.  0.  0.  0.]","[ 0.  0.  0.  0.]","0","space","space","NA","NA","NA","NA","NA","10395.9096742","10395.9096742","NA","NA","NA","NA","NA","2","NA","legacy","[u'CHICKEN']","no","[]","132","1024","2","48000","-16","no","experiment","no","0","even","legacy","A","1","NA","NA","114686.131999","NA","46878.5186725","46889.7223794","46835.6823873","NA","63248.3427367","NA","2708.85221352","46836.5302065","104269.542231","NA","NA","NA","NA","NA","63233.2100575","NA","NA","NA","NA","NA","46836.6074026","46835.7163001","46836.290586","46836.4481019","NA","NA","115237.406316","NA","NA","NA","53628.7457988","NA","NA","NA","NA","NA","NA","NA","NA","NA","63248.4270724","NA","NA","2709.25381206","114686.21098","NA","NA","64183.4694009","NA","53315.3552541","NA","62186.2538174","NA","NA","46835.56637","64497.5667591","NA","NA","NA","NA","46836.2620279","64495.7751834","NA","46836.2321311","NA","Attend-and-click training","[-1, 1, -1, 0]","[1, -1, 0, -1]","0","0","0","no","yes","1280","1","[ 0.  0.  0.  0.]","CHICKEN","['FIGHT', 'CHICKEN', 'WOMEN', 'HOMEWORK']","['MOMMY', 'STOP', 'MEOW', 'TAXI']","['BABIES', 'GUYS', 'DRINKS', 'BEARS']","['DRESS', 'WEAPONS', 'BINOCULARS', 'LEMONS']","['TICKLE', 'FIGHT', 'COOK', 'HIDE']"
"undefined","undefined","undefined","undefined","#4c4c4c","2.65","no","[0, -1, 1, -1]","[-1, 0, -1, 1]","psycho","no","psycho","NA","100","NA","NA","NA","psycho","[[-1, 1, -1, 0], [-1, 0, -1, 1], [1, -1, 0, -1], [0, -1, 1, -1]]","0","relative","undefined","undefined","NA","2","0","NA","1","NA","0","0","0","0","1","NA","0","0","1","NA","NA","NA","0","NA","0","NA","NA","NA","0","NA","0","0","0","0","NA","0","1","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","0","1","NA","NA","1","NA","0","NA","2","NA","NA","0","1","NA","0","NA","NA","0","1","NA","0","NA","0","[ 0.  0.  0.  0.]","10/19/18 12:01:38","A brain-computer interface based on covert attention and pupillometry","yes","390","0","MadLibsV11_Covert.osexp","C:\Users\EyeTDisplay\Desktop\User-Models-Project_lab","no","yes","no","mono","no","18","no","white","no","no","NA","NA","yes","1024","[]","EFGH","psycho","1.375","1","0","1","C:/Users/EyeTDisplay/Desktop/User-Models-Project_lab/Results/sbja1.csv","39.5569355176","2966.25","1.05","0","2315.25","2683.75","0.95","2094.75","90upmirror","psycho","4","Kafkaesque Koffka","3.2.4","no","no","no","[ 0.  0.  0.  0.]","[ 0.  0.  0.  0.]","0","space","space","NA","NA","NA","NA","NA","8738.4571655","8738.4571655","NA","NA","NA","NA","NA","2","NA","legacy","[u'CHICKEN', u'MOMMY']","no","[]","132","1024","2","48000","-16","no","experiment","no","0","even","legacy","B","1","NA","NA","168203.585472","NA","46878.5186725","46889.7223794","46835.6823873","NA","116628.850214","NA","2708.85221352","46836.5302065","159453.613137","NA","NA","NA","NA","NA","63233.2100575","NA","NA","NA","NA","NA","46836.6074026","46835.7163001","46836.290586","46836.4481019","NA","NA","168755.954368","NA","NA","NA","53628.7457988","NA","NA","NA","NA","NA","NA","NA","NA","NA","116628.93455","NA","NA","2709.25381206","168203.669361","NA","NA","119425.34774","NA","53315.3552541","NA","115566.753263","NA","NA","46835.56637","119740.536107","NA","NA","NA","NA","46836.2620279","119738.751671","NA","46836.2321311","NA","Attend-and-click training","[-1, 1, -1, 0]","[1, -1, 0, -1]","0","0","0","no","yes","1280","0","[ 0.  0.  0.  0.]","MOMMY","['FIGHT', 'CHICKEN', 'WOMEN', 'HOMEWORK']","['MOMMY', 'STOP', 'MEOW', 'TAXI']","['BABIES', 'GUYS', 'DRINKS', 'BEARS']","['DRESS', 'WEAPONS', 'BINOCULARS', 'LEMONS']","['TICKLE', 'FIGHT', 'COOK', 'HIDE']"
"undefined","undefined","undefined","undefined","#4c4c4c","2.65","no","[0, -1, 1, -1]","[-1, 0, -1, 1]","psycho","no","psycho","NA","100","NA","NA","NA","psycho","[[-1, 1, -1, 0], [-1, 0, -1, 1], [1, -1, 0, -1], [0, -1, 1, -1]]","0","relative","undefined","undefined","NA","3","0","NA","2","NA","0","0","0","0","2","NA","0","0","2","NA","NA","NA","0","NA","0","NA","NA","NA","0","NA","0","0","0","0","NA","0","2","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","0","2","NA","NA","2","NA","0","NA","3","NA","NA","0","2","NA","0","NA","NA","0","2","NA","0","NA","0","[ 0.  0.  0.  0.]","10/19/18 12:01:38","A brain-computer interface based on covert attention and pupillometry","yes","390","0","MadLibsV11_Covert.osexp","C:\Users\EyeTDisplay\Desktop\User-Models-Project_lab","no","yes","no","mono","no","18","no","white","no","no","NA","NA","yes","1024","[]","IJKL","psycho","1.375","2","0","2","C:/Users/EyeTDisplay/Desktop/User-Models-Project_lab/Results/sbja1.csv","39.5616168179","2966.25","1.05","0","2315.25","2683.75","0.95","2094.75","90upmirror","psycho","4","Kafkaesque Koffka","3.2.4","no","no","no","[ 0.  0.  0.  0.]","[ 0.  0.  0.  0.]","0","space","space","NA","NA","NA","NA","NA","8069.03702025","8069.03702025","NA","NA","NA","NA","NA","2","NA","legacy","[u'CHICKEN', u'MOMMY', u'BABIES']","no","[]","132","1024","2","48000","-16","no","experiment","no","0","even","legacy","C","1","NA","NA","233020.727839","NA","46878.5186725","46889.7223794","46835.6823873","NA","169883.548917","NA","2708.85221352","46836.5302065","224937.393911","NA","NA","NA","NA","NA","63233.2100575","NA","NA","NA","NA","NA","46836.6074026","46835.7163001","46836.290586","46836.4481019","NA","NA","233573.770528","NA","NA","NA","53628.7457988","NA","NA","NA","NA","NA","NA","NA","NA","NA","169883.63593","NA","NA","2709.25381206","233020.808159","NA","NA","184890.16146","NA","53315.3552541","NA","168820.783974","NA","NA","46835.56637","185205.473877","NA","NA","NA","NA","46836.2620279","185203.712198","NA","46836.2321311","NA","Attend-and-click training","[-1, 1, -1, 0]","[1, -1, 0, -1]","0","0","0","no","yes","1280","0","[ 0.  0.  0.  0.]","BABIES","['FIGHT', 'CHICKEN', 'WOMEN', 'HOMEWORK']","['MOMMY', 'STOP', 'MEOW', 'TAXI']","['BABIES', 'GUYS', 'DRINKS', 'BEARS']","['DRESS', 'WEAPONS', 'BINOCULARS', 'LEMONS']","['TICKLE', 'FIGHT', 'COOK', 'HIDE']"
"undefined","undefined","undefined","undefined","#4c4c4c","2.65","no","[0, -1, 1, -1]","[-1, 0, -1, 1]","psycho","no","psycho","NA","100","NA","NA","NA","psycho","[[-1, 1, -1, 0], [-1, 0, -1, 1], [1, -1, 0, -1], [0, -1, 1, -1]]","0","relative","undefined","undefined","NA","4","0","NA","3","NA","0","0","0","0","3","NA","0","0","3","NA","NA","NA","0","NA","0","NA","NA","NA","0","NA","0","0","0","0","NA","0","3","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","0","3","NA","NA","3","NA","0","NA","4","NA","NA","0","3","NA","0","NA","NA","0","3","NA","0","NA","0","[ 0.  0.  0.  0.]","10/19/18 12:01:38","A brain-computer interface based on covert attention and pupillometry","yes","390","0","MadLibsV11_Covert.osexp","C:\Users\EyeTDisplay\Desktop\User-Models-Project_lab","no","yes","no","mono","no","18","no","white","no","no","NA","NA","yes","1024","[]","MNOP","psycho","1.375","3","0","3","C:/Users/EyeTDisplay/Desktop/User-Models-Project_lab/Results/sbja1.csv","39.5116592981","2966.25","1.05","0","2315.25","2683.75","0.95","2094.75","90upmirror","psycho","4","Kafkaesque Koffka","3.2.4","no","no","no","[ 0.  0.  0.  0.]","[ 0.  0.  0.  0.]","0","space","space","NA","NA","NA","NA","NA","38135.8781889","38135.8781889","NA","NA","NA","NA","NA","2","NA","legacy","[u'CHICKEN', u'MOMMY', u'BABIES', u'WEAPONS']","no","[]","132","1024","2","48000","-16","no","experiment","no","0","even","legacy","D","1","NA","NA","327938.210495","NA","46878.5186725","46889.7223794","46835.6823873","NA","234929.527042","NA","2708.85221352","46836.5302065","289788.19693","NA","NA","NA","NA","NA","63233.2100575","NA","NA","NA","NA","NA","46836.6074026","46835.7163001","46836.290586","46836.4481019","NA","NA","328490.342448","NA","NA","NA","53628.7457988","NA","NA","NA","NA","NA","NA","NA","NA","NA","234929.660462","NA","NA","2709.25381206","327938.295277","NA","NA","249785.142996","NA","53315.3552541","NA","233866.923184","NA","NA","46835.56637","250100.906988","NA","NA","NA","NA","46836.2620279","250099.031077","NA","46836.2321311","NA","Attend-and-click training","[-1, 1, -1, 0]","[1, -1, 0, -1]","0","0","0","no","yes","1280","1","[ 0.  0.  0.  0.]","WEAPONS","['FIGHT', 'CHICKEN', 'WOMEN', 'HOMEWORK']","['MOMMY', 'STOP', 'MEOW', 'TAXI']","['BABIES', 'GUYS', 'DRINKS', 'BEARS']","['DRESS', 'WEAPONS', 'BINOCULARS', 'LEMONS']","['TICKLE', 'FIGHT', 'COOK', 'HIDE']"
"undefined","undefined","undefined","undefined","#4c4c4c","2.65","no","[0, -1, 1, -1]","[-1, 0, -1, 1]","psycho","no","psycho","NA","100","NA","NA","NA","psycho","[[-1, 1, -1, 0], [-1, 0, -1, 1], [1, -1, 0, -1], [0, -1, 1, -1]]","0","relative","undefined","undefined","NA","5","0","NA","4","NA","0","0","0","0","4","NA","0","0","4","NA","NA","NA","0","NA","0","NA","NA","NA","0","NA","0","0","0","0","NA","0","4","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","0","4","NA","NA","4","NA","0","NA","5","NA","NA","0","4","NA","0","NA","NA","0","4","NA","0","NA","0","[ 0.  0.  0.  0.]","10/19/18 12:01:38","A brain-computer interface based on covert attention and pupillometry","yes","390","0","MadLibsV11_Covert.osexp","C:\Users\EyeTDisplay\Desktop\User-Models-Project_lab","no","yes","no","mono","no","18","no","white","no","no","NA","NA","yes","1024","[]","QRST","psycho","1.375","4","0","4","C:/Users/EyeTDisplay/Desktop/User-Models-Project_lab/Results/sbja1.csv","39.5344022697","2966.25","1.05","0","2315.25","2683.75","0.95","2094.75","90upmirror","psycho","4","Kafkaesque Koffka","3.2.4","no","no","no","[ 0.  0.  0.  0.]","[ 0.  0.  0.  0.]","0","space","space","NA","NA","NA","NA","NA","5583.80647591","5583.80647591","NA","NA","NA","NA","NA","2","NA","legacy","[u'CHICKEN', u'MOMMY', u'BABIES', u'WEAPONS', u'TICKLE']","no","[]","132","1024","2","48000","-16","no","experiment","no","0","even","legacy","E","1","NA","NA","379538.939441","NA","46878.5186725","46889.7223794","46835.6823873","NA","329610.172759","NA","2708.85221352","46836.5302065","373938.921324","NA","NA","NA","NA","NA","63233.2100575","NA","NA","NA","NA","NA","46836.6074026","46835.7163001","46836.290586","46836.4481019","NA","NA","380091.672453","NA","NA","NA","53628.7457988","NA","NA","NA","NA","NA","NA","NA","NA","NA","329610.260664","NA","NA","2709.25381206","379539.027792","NA","NA","333936.318519","NA","53315.3552541","NA","328546.985691","NA","NA","46835.56637","334251.461819","NA","NA","NA","NA","46836.2620279","334249.658195","NA","46836.2321311","NA","Attend-and-click training","[-1, 1, -1, 0]","[1, -1, 0, -1]","0","0","0","no","yes","1280","0","[ 0.  0.  0.  0.]","TICKLE","['FIGHT', 'CHICKEN', 'WOMEN', 'HOMEWORK']","['MOMMY', 'STOP', 'MEOW', 'TAXI']","['BABIES', 'GUYS', 'DRINKS', 'BEARS']","['DRESS', 'WEAPONS', 'BINOCULARS', 'LEMONS']","['TICKLE', 'FIGHT', 'COOK', 'HIDE']"
